TStamp	X	Y	Z
1613754845111	-0.129501	-0.001083	9.810867
1613754845114	-0.119934	-0.001083	9.825226
1613754845116	-0.112747	-0.005859	9.827621
1613754845118	-0.122314	-0.020218	9.822830
1613754845121	-0.115143	-0.010651	9.830017
1613754845123	-0.131897	-0.001083	9.839584
1613754845126	-0.117538	0.015671	9.818054
1613754845128	-0.139069	-0.005859	9.839584
1613754845130	-0.136673	-0.013046	9.825226
1613754845133	-0.134293	-0.001083	9.827621
1613754845135	-0.124710	-0.020218	9.808472
1613754845137	-0.122314	-0.001083	9.825226
1613754845140	-0.127106	0.001312	9.832397
1613754845142	-0.131897	-0.010651	9.834793
1613754845145	-0.131897	-0.001083	9.820435
1613754845147	-0.127106	0.010880	9.832397
1613754845149	-0.115143	0.001312	9.827621
1613754845152	-0.110352	-0.005859	9.808472
1613754845154	-0.117538	-0.020218	9.818054
1613754845156	-0.122314	-0.005859	9.827621
1613754845159	-0.129501	0.003708	9.837189
1613754845161	-0.127106	-0.013046	9.818054
1613754845164	-0.129501	-0.001083	9.825226
1613754845166	-0.119934	-0.010651	9.837189
1613754845168	-0.124710	0.001312	9.818054
1613754845171	-0.110352	-0.025009	9.810867
1613754845173	-0.119934	-0.010651	9.839584
1613754845175	-0.134293	-0.005859	9.818054
1613754845178	-0.124710	-0.015442	9.827621
1613754845180	-0.141464	0.003708	9.844376
1613754845183	-0.127106	-0.017822	9.844376
1613754845185	-0.127106	-0.001083	9.830017
1613754845187	-0.134293	-0.020218	9.825226
1613754845190	-0.129501	-0.034576	9.853943
1613754845192	-0.139069	-0.005859	9.827621
1613754845195	-0.134293	-0.003464	9.806091
1613754845197	-0.146255	-0.020218	9.818054
1613754845199	-0.151031	0.010880	9.846756
1613754845202	-0.124710	0.018066	9.820435
1613754845204	-0.127106	0.003708	9.813263
1613754845206	-0.127106	0.013275	9.815659
1613754845209	-0.136673	0.010880	9.808472
1613754845211	-0.122314	-0.001083	9.822830
1613754845214	-0.129501	-0.005859	9.832397
1613754845216	-0.158218	0.013275	9.808472
1613754845218	-0.134293	-0.020218	9.815659
1613754845221	-0.127106	-0.027405	9.822830
1613754845223	-0.117538	-0.015442	9.815659
1613754845225	-0.122314	-0.008255	9.818054
1613754845228	-0.122314	-0.008255	9.813263
1613754845230	-0.127106	-0.005859	9.827621
1613754845233	-0.115143	-0.003464	9.827621
1613754845235	-0.141464	-0.013046	9.832397
1613754845237	-0.127106	-0.020218	9.822830
1613754845240	-0.134293	-0.017822	9.825226
1613754845242	-0.129501	0.025238	9.827621
1613754845245	-0.139069	0.013275	9.813263
1613754845247	-0.129501	0.010880	9.841980
1613754845249	-0.131897	-0.013046	9.832397
1613754845252	-0.110352	-0.017822	9.813263
1613754845254	-0.110352	0.003708	9.832397
1613754845256	-0.134293	0.001312	9.834793
1613754845259	-0.119934	-0.001083	9.830017
1613754845261	-0.124710	-0.001083	9.822830
1613754845264	-0.141464	-0.008255	9.830017
1613754845266	-0.119934	-0.003464	9.820435
1613754845268	-0.122314	-0.010651	9.820435
1613754845271	-0.129501	-0.010651	9.806091
1613754845273	-0.124710	-0.015442	9.846756
1613754845275	-0.103180	-0.017822	9.820435
1613754845278	-0.117538	0.006104	9.815659
1613754845280	-0.124710	-0.005859	9.830017
1613754845283	-0.115143	0.001312	9.834793
1613754845285	-0.119934	0.010880	9.820435
1613754845287	-0.124710	-0.001083	9.839584
1613754845290	-0.112747	-0.008255	9.837189
1613754845292	-0.117538	0.008499	9.830017
1613754845294	-0.141464	0.010880	9.830017
1613754845297	-0.107971	-0.008255	9.825226
1613754845299	-0.112747	-0.032181	9.834793
1613754845302	-0.117538	-0.022614	9.830017
1613754845304	-0.117538	0.001312	9.832397
1613754845306	-0.139069	0.003708	9.818054
1613754845309	-0.148636	-0.010651	9.818054
1613754845311	-0.110352	-0.015442	9.810867
1613754845313	-0.112747	-0.020218	9.825226
1613754845316	-0.122314	-0.001083	9.825226
1613754845318	-0.141464	-0.003464	9.818054
1613754845321	-0.100784	-0.010651	9.832397
1613754845323	-0.139069	-0.001083	9.830017
1613754845325	-0.110352	-0.020218	9.818054
1613754845328	-0.115143	0.013275	9.827621
1613754845330	-0.117538	-0.010651	9.844376
1613754845333	-0.131897	0.003708	9.825226
1613754845335	-0.127106	0.006104	9.827621
1613754845337	-0.122314	-0.001083	9.834793
1613754845340	-0.122314	0.008499	9.825226
1613754845342	-0.122314	0.001312	9.827621
1613754845344	-0.122314	-0.003464	9.820435
1613754845347	-0.134293	0.010880	9.822830
1613754845349	-0.127106	0.001312	9.851547
1613754845352	-0.131897	-0.005859	9.832397
1613754845354	-0.119934	0.001312	9.827621
1613754845356	-0.136673	-0.013046	9.822830
1613754845359	-0.136673	-0.008255	9.815659
1613754845361	-0.112747	-0.013046	9.825226
1613754845363	-0.129501	-0.013046	9.841980
1613754845366	-0.136673	-0.008255	9.825226
1613754845368	-0.127106	0.008499	9.818054
1613754845371	-0.119934	0.001312	9.830017
1613754845373	-0.136673	-0.017822	9.839584
1613754845375	-0.124710	-0.005859	9.830017
1613754845378	-0.117538	-0.013046	9.813263
1613754845380	-0.136673	-0.003464	9.822830
1613754845382	-0.124710	-0.008255	9.825226
1613754845385	-0.124710	0.001312	9.813263
1613754845387	-0.115143	-0.005859	9.837189
