TStamp	X	Y	Z
1613754860390	-0.213516	0.167801	0.249268
1613754860393	-0.224518	0.144592	0.250504
1613754860395	-0.239182	0.120148	0.244385
1613754860397	-0.253845	0.095718	0.241943
1613754860400	-0.268494	0.068832	0.235825
1613754860402	-0.289261	0.040741	0.227295
1613754860404	-0.305145	0.012650	0.219940
1613754860407	-0.319809	-0.009338	0.212616
1613754860409	-0.338135	-0.031326	0.204056
1613754860412	-0.351578	-0.048431	0.195526
1613754860414	-0.361343	-0.063080	0.190613
1613754860416	-0.369904	-0.074081	0.183289
1613754860419	-0.379669	-0.082642	0.173523
1613754860421	-0.383347	-0.083862	0.167404
1613754860423	-0.388229	-0.085083	0.157639
1613754860426	-0.394348	-0.081406	0.146637
1613754860428	-0.404114	-0.078964	0.135651
1613754860431	-0.404114	-0.074081	0.125870
1613754860433	-0.405319	-0.061874	0.113663
1613754860435	-0.413879	-0.054535	0.098999
1613754860438	-0.412674	-0.037430	0.087997
1613754860440	-0.418762	-0.021545	0.073349
1613754860443	-0.416321	-0.002014	0.063568
1613754860445	-0.417557	0.015091	0.050140
1613754860447	-0.416321	0.032181	0.040359
1613754860450	-0.410233	0.046860	0.029373
1613754860452	-0.410233	0.056625	0.017136
1613754860454	-0.411438	0.065186	0.006165
1613754860457	-0.410233	0.070068	-0.006058
1613754860459	-0.410233	0.074951	-0.018265
1613754860462	-0.408997	0.076172	-0.028046
1613754860464	-0.404114	0.076172	-0.040268
1613754860466	-0.404114	0.072510	-0.047592
1613754860469	-0.404114	0.065186	-0.056152
1613754860471	-0.397995	0.060287	-0.062256
1613754860473	-0.395554	0.051743	-0.065918
1613754860476	-0.391907	0.041962	-0.069580
1613754860478	-0.388229	0.032181	-0.074463
1613754860481	-0.384552	0.022415	-0.075684
1613754860483	-0.379669	0.018738	-0.076920
1613754860485	-0.379669	0.012650	-0.081802
1613754860488	-0.382111	0.007767	-0.085464
1613754860490	-0.385788	0.006531	-0.089127
1613754860492	-0.390671	0.012650	-0.091568
1613754860495	-0.397995	0.017532	-0.094009
1613754860497	-0.406555	0.027298	-0.097687
1613754860500	-0.412674	0.045624	-0.097687
1613754860502	-0.423645	0.067627	-0.100128
1613754860504	-0.435883	0.089615	-0.100128
1613754860507	-0.441971	0.121368	-0.097687
1613754860509	-0.451767	0.154358	-0.097687
1613754860512	-0.457855	0.188568	-0.097687
1613754860514	-0.466415	0.220337	-0.098907
1613754860516	-0.463974	0.255753	-0.095230
1613754860519	-0.462753	0.286316	-0.094009
1613754860521	-0.457855	0.309525	-0.095230
1613754860523	-0.448090	0.330292	-0.094009
1613754860526	-0.434647	0.344955	-0.092789
1613754860528	-0.418762	0.357162	-0.091568
1613754860531	-0.395554	0.365723	-0.090347
1613754860533	-0.371109	0.368164	-0.090347
1613754860535	-0.343018	0.368164	-0.090347
1613754860538	-0.310043	0.360840	-0.090347
1613754860540	-0.275833	0.349838	-0.091568
1613754860542	-0.235519	0.335175	-0.092789
1613754860545	-0.196426	0.315628	-0.096466
1613754860547	-0.156097	0.288757	-0.097687
