OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SL-14 R/B,1986-006B,2022-02-24T22:19:17.449248,14.84243374,.0019481,82.5260,203.3897,168.4595,307.6486,0,U,16496,999,95153,.23418E-4,.221E-5,0
COSMOS 1743,1986-034A,2022-02-25T02:56:43.010592,15.16648138,.001336,82.5505,111.4976,100.6681,317.9151,0,U,16719,999,95530,.75062E-4,.1503E-4,0
SL-14 R/B,1986-046B,2022-02-24T22:01:14.185056,14.83345187,.0025401,82.4831,29.6222,52.0766,308.2739,0,U,16792,999,90777,.24574E-4,.227E-5,0
SL-14 R/B,1986-055B,2022-02-25T03:13:12.129024,14.83331793,.0020472,82.5184,68.8306,153.7527,271.6586,0,U,16882,999,92194,.18711E-4,.178E-5,0
AJISAI (EGS),1986-061A,2022-02-25T11:15:24.211872,12.44495462,.0011379,50.0096,303.3795,136.4064,279.3766,0,U,16908,999,28490,.16376E-3,-.74E-6,0
COSMOS 1812,1987-003A,2022-02-24T18:44:28.953024,15.16739949,.0002547,82.5109,256.8052,340.5232,19.5903,0,U,17295,999,91821,.11043E-3,.2195E-4,0
SL-14 R/B,1987-024B,2022-02-25T09:49:16.277088,14.83865456,.0020722,82.5288,34.3725,90.3305,270.0285,0,U,17567,999,89065,.24519E-4,.229E-5,0
COSMOS 1833,1987-027A,2022-02-24T18:58:34.882464,14.12924550,.0027802,70.9220,183.6960,267.4030,92.3908,0,U,17589,999,80211,-.58928E-4,-.158E-5,0
SL-16 R/B,1987-027B,2022-02-24T16:28:57.882720,14.16814858,.0006593,71.0035,141.5391,227.8167,132.2397,0,U,17590,999,80658,.8416E-4,.121E-5,0
SL-14 R/B,1987-038B,2022-02-24T22:32:03.311808,14.83139347,.0019942,82.4993,242.1892,350.8038,9.2809,0,U,17912,999,86064,.19341E-4,.182E-5,0
COSMOS 1844,1987-041A,2022-02-24T23:02:54.686688,14.14139249,.002906,70.8956,261.4915,73.6456,286.7858,0,U,17973,999,79541,.15389E-3,.246E-5,0
SL-14 R/B,1987-055B,2022-02-24T18:20:21.529248,14.83391506,.0021081,82.4997,295.5012,194.1704,165.8922,0,U,18153,999,85129,.16664E-4,.161E-5,0
COSMOS 1867,1987-060A,2022-02-25T03:06:30.229056,14.31134392,.0020136,65.0101,112.0115,262.8286,97.0509,0,U,18187,999,80926,.52812E-5,-.86E-6,0
COSMOS 1892,1987-088A,2022-02-24T22:49:16.868352,15.18421136,.0016398,82.5009,21.9572,81.1990,279.1100,0,U,18421,999,87820,.10375E-3,.2174E-4,0
SL-14 R/B,1988-001B,2022-02-24T18:20:41.550720,14.83321920,.0020082,82.5158,139.1167,65.9414,51.8452,0,U,18749,999,82337,.1735E-4,.167E-5,0
COSMOS 1933,1988-020A,2022-02-24T21:43:25.742784,15.04236836,.0010795,82.5266,249.1684,202.8457,157.2291,0,U,18958,999,82788,.36275E-4,.533E-5,0
SL-3 R/B,1988-032B,2022-02-25T10:43:25.436352,15.03292327,.0034956,97.3903,60.3935,261.0244,98.7024,0,U,19046,999,83007,.24343E-4,.274E-5,0
SL-16 R/B,1988-039B,2022-02-25T09:17:43.309248,14.19235111,.0019629,71.0153,302.7797,78.6731,281.6598,0,U,19120,999,74959,-.41699E-4,-.136E-5,0
COSMOS 1953,1988-050A,2022-02-25T09:28:42.430656,15.06757474,.0013072,82.5203,169.7485,164.6514,195.5113,0,U,19210,999,83581,.14322E-3,.2162E-4,0
SL-8 R/B,1988-053B,2022-02-24T20:49:01.913664,14.37557081,.0019706,74.0491,305.6482,134.2453,297.9175,0,U,19257,999,76472,.41606E-4,.99E-6,0
COSMOS 1975,1988-093A,2022-02-24T16:34:12.013248,15.05642594,.0013497,82.5203,126.0763,212.4964,147.5434,0,U,19573,999,79631,.66167E-4,.985E-5,0
SL-14 R/B,1988-093B,2022-02-24T22:00:47.897856,14.83433846,.0020455,82.5354,342.6251,223.0525,205.4819,0,U,19574,999,78240,.1931E-4,.183E-5,0
SL-16 R/B,1988-102B,2022-02-24T21:58:56.012448,14.15818421,.0012039,71.0017,11.4918,95.7717,264.4779,0,U,19650,999,71827,.1261E-3,.2E-5,0
INTERCOSMOS 24,1989-080A,2022-02-25T11:29:02.927904,12.56278031,.120282,82.6080,340.2626,101.6099,272.2221,0,U,20261,999,48118,.96284E-4,.355E-5,0
SL-14 R/B,1989-080C,2022-02-25T08:36:03.177504,12.49025448,.1235699,82.5946,38.1090,308.2490,41.3511,0,U,20262,999,47569,.66526E-4,.22E-5,0
DELTA 2 R/B(1),1989-085B,2022-02-25T03:37:05.878272,15.31987795,.0086667,35.6410,80.2841,282.6407,76.4643,0,U,20303,999,76266,.27321E-3,.9705E-4,0
DELTA 1 R/B,1989-089B,2022-02-25T10:45:58.881024,14.48464141,.0073152,97.0980,116.0566,87.2245,273.7322,0,U,20323,999,70285,.34431E-4,.99E-6,0
ARIANE 40 R/B,1990-005H,2022-02-25T03:07:44.809536,14.38178232,.0009377,98.4972,125.1994,304.2270,55.8028,0,U,20443,999,68115,.32176E-4,.54E-6,0
DELTA 2 R/B(1),1990-008B,2022-02-24T21:35:06.357696,14.87826665,.027172,35.6218,210.2703,66.4042,296.4959,0,U,20453,999,70312,.17929E-3,.328E-4,0
COSMOS 2058,1990-010A,2022-02-25T10:39:01.542240,14.98522241,.0013616,82.4884,38.4977,278.8161,81.1520,0,U,20465,999,74196,.85889E-4,.1056E-4,0
SL-14 R/B,1990-010B,2022-02-25T10:33:22.147488,14.81481878,.0021902,82.5035,208.3899,106.2646,254.0979,0,U,20466,999,73128,.24798E-4,.219E-5,0
SL-14 R/B,1990-018B,2022-02-24T20:25:46.673760,14.80133628,.0016039,82.5259,158.1036,251.3205,248.4804,0,U,20511,999,70443,.19293E-4,.17E-5,0
HST,1990-037B,2022-02-24T20:04:04.524672,15.10065439,.0002306,28.4690,194.7267,263.0434,227.3444,0,U,20580,999,54944,.73963E-4,.1417E-4,0
SL-16 R/B,1990-046B,2022-02-25T12:04:01.854336,14.14684815,.0013569,71.0001,150.9161,14.6556,345.4957,0,U,20625,999,64027,.16002E-3,.261E-5,0
COSMOS 2084,1990-055A,2022-02-25T00:43:13.867968,14.92512513,.0105606,62.7920,265.5397,38.0211,322.8276,0,U,20663,999,71552,.66588E-4,.557E-5,0
SL-6 R/B(2),1990-055D,2022-02-24T20:16:06.366432,14.92781626,.0123812,62.7842,180.9897,61.3119,300.0355,0,U,20666,999,71691,.58261E-4,.487E-5,0
SL-8 R/B,1990-078B,2022-02-24T20:55:04.632960,14.37734254,.0561552,82.9225,76.4132,78.1569,288.2011,0,U,20775,999,59433,.1773E-3,.3805E-4,0
SL-8 R/B,1991-006B,2022-02-25T10:52:39.980928,13.77187018,.0022383,82.9454,185.7315,197.9106,226.2754,0,U,21088,999,56154,-.10202E-4,.5E-7,0
OKEAN-3,1991-039A,2022-02-24T19:23:09.770208,14.93373649,.0016098,82.5226,309.7302,263.1689,96.7699,0,U,21397,999,64436,.70951E-4,.771E-5,0
COSMOS 2151,1991-042A,2022-02-25T10:25:18.426720,14.92443754,.0013317,82.4984,54.4797,334.4144,25.6415,0,U,21422,999,66412,.62116E-4,.663E-5,0
SL-14 R/B,1991-042B,2022-02-25T08:20:40.495488,14.79883261,.0018431,82.4968,159.3876,38.8930,321.3604,0,U,21423,999,65608,.18157E-4,.16E-5,0
ERS-1,1991-050A,2022-02-24T21:31:59.469312,14.37862719,.0031841,98.6841,23.4386,251.9474,107.8242,0,U,21574,999,60384,.40566E-4,.77E-6,0
ARIANE 40 R/B,1991-050F,2022-02-25T03:15:44.502336,14.41005761,.0003109,98.3937,127.7771,183.8237,231.1135,0,U,21610,999,60693,.37516E-4,.77E-6,0
INTERCOSMOS 25,1991-086A,2022-02-24T16:23:30.866496,12.05508385,.15152,82.5769,116.3791,36.4724,333.0505,0,U,21819,999,31864,.15025E-3,.771E-5,0
SL-8 R/B,1992-008B,2022-02-24T17:33:51.120288,13.75696478,.0033673,82.9243,283.6081,291.5631,131.8733,0,U,21876,999,50674,-.70641E-5,.8E-7,0
SL-8 R/B,1992-020B,2022-02-24T20:32:11.750784,13.75304217,.0030525,82.9338,168.1952,91.4591,23.7629,0,U,21938,999,49853,.56347E-4,.7E-6,0
COSMOS 2219,1992-076A,2022-02-25T10:39:15.593472,14.13682550,.0020882,71.0594,216.7077,288.5812,71.3042,0,U,22219,999,51047,-.10345E-3,-.243E-5,0
SL-16 R/B,1992-076B,2022-02-25T10:16:00.219648,14.16485295,.0013195,71.0001,50.6899,191.5705,275.5370,0,U,22220,999,51351,-.10325E-3,-.254E-5,0
COSMOS 2221,1992-080A,2022-02-24T22:10:56.127936,14.88250635,.0017939,82.5053,240.0849,73.1688,287.1496,0,U,22236,999,56109,.58319E-4,.565E-5,0
SL-16 R/B,1992-093B,2022-02-25T11:33:17.154720,14.15073217,.0003457,71.0199,215.9197,3.7099,356.4049,0,U,22285,999,50504,.14474E-3,.233E-5,0
COSMOS 2228,1992-094A,2022-02-25T10:57:49.946112,14.88487355,.002091,82.5217,196.5634,184.4000,175.7038,0,U,22286,999,57743,.84016E-4,.808E-5,0
SL-16 R/B,1993-016B,2022-02-25T11:22:21.808992,14.14996592,.000882,71.0074,68.4519,33.5459,326.6220,0,U,22566,999,49376,.19756E-4,-.9E-7,0
COSMOS 2242,1993-024A,2022-02-24T21:23:49.077600,14.88323644,.0018613,82.5203,225.4786,186.2418,173.8571,0,U,22626,999,56066,.67013E-4,.646E-5,0
SL-16 R/B,1993-059B,2022-02-24T21:03:47.384928,14.16851368,.0019294,70.9867,238.0680,292.6218,67.2865,0,U,22803,999,47075,.51558E-5,-.38E-6,0
ARIANE 40 R/B,1993-061H,2022-02-25T09:48:04.120992,14.31516049,.0010002,98.6790,119.3766,312.3866,47.6469,0,U,22830,999,48348,.30523E-4,.36E-6,0
COSMOS 2278,1994-023A,2022-02-25T07:57:24.427872,14.13856299,.0006711,71.0569,16.1412,127.5637,232.6096,0,U,23087,999,43677,.39962E-4,.29E-6,0
SL-16 R/B,1994-023B,2022-02-25T07:38:38.215104,14.14698569,.0003275,70.9983,284.2469,338.2924,21.8059,0,U,23088,999,43796,.8906E-4,.124E-5,0
SL-16 R/B,1994-074B,2022-02-25T03:10:13.419264,14.76954906,.0006043,97.9105,111.3982,329.3018,83.3953,0,U,23343,999,46979,.22716E-4,.109E-5,0
SL-16 R/B,1994-077B,2022-02-24T21:08:54.204288,14.15251223,.0004732,70.9805,212.2080,255.2121,104.8478,0,U,23405,999,40769,.46076E-4,.42E-6,0
ERS-2,1995-021A,2022-02-25T10:30:26.712288,15.25199008,.0002433,98.5179,306.4390,201.2307,158.8827,0,U,23560,999,43626,.15188E-3,.3721E-4,0
ARIANE 40+ R/B,1995-021B,2022-02-24T18:36:07.703424,14.38091111,.000642,98.6398,112.5590,213.6756,255.1368,0,U,23561,999,40729,.44462E-4,.9E-6,0
SL-16 R/B,1995-058B,2022-02-24T22:49:53.247936,14.15166412,.0013751,71.0237,33.3390,214.9960,145.0260,0,U,23705,999,35933,.11364E-4,-.25E-6,0
SL-16 R/B,1996-051B,2022-02-25T09:58:11.159616,14.12400753,.0016037,70.8192,47.2405,167.6697,192.4819,0,U,24298,999,31387,-.15223E-4,-.77E-6,0
ORBVIEW 2 (SEASTAR),1997-037A,2022-02-25T08:32:42.467712,14.33680007,.000336,98.6636,179.4735,86.7214,273.4354,0,U,24883,999,29750,.58219E-4,.117E-5,0
SL-16 R/B,1998-043G,2022-02-24T20:11:35.711520,14.25497623,.0009601,98.6640,353.2517,343.0345,17.0513,0,U,25400,999,22897,.23617E-4,.12E-6,0
SL-16 R/B,1998-045B,2022-02-24T23:15:24.703488,14.15853757,.0005322,71.0122,39.7733,121.9510,238.2131,0,U,25407,999,21875,.24464E-4,0,0
ISS (ZARYA),1998-067A,2022-02-25T18:43:54.666048,15.49939663,.0005458,51.6406,168.2939,166.0960,329.5891,0,U,25544,999,32790,.11783E-3,.6261E-4,0
CZ-4B R/B,1999-025C,2022-02-25T08:39:47.210112,14.17713942,.0036426,98.8713,97.9648,247.1187,123.0714,0,U,25732,999,17951,.14952E-4,-.14E-6,0
OKEAN-O,1999-039A,2022-02-25T02:59:50.769888,14.76837703,.0001739,98.1553,94.9350,80.0436,280.0970,0,U,25860,999,21676,.36231E-4,.201E-5,0
SL-16 R/B,1999-039B,2022-02-25T00:40:45.530400,14.78727820,.0015071,98.1907,81.1022,338.8049,72.8305,0,U,25861,999,21902,.31515E-4,.176E-5,0
DELTA 2 R/B,1999-041E,2022-02-25T10:07:35.215104,14.04804783,.0530876,51.7665,30.2830,346.8227,11.9275,0,U,25876,999,15549,.21105E-3,.1011E-4,0
HELIOS 1B,1999-064A,2022-02-24T18:33:07.848864,14.82664076,.0002034,98.3229,245.4139,123.0912,237.0496,0,U,25977,999,46658,.40211E-4,.266E-5,0
TERRA,1999-068A,2022-02-25T11:25:40.080576,14.57133603,.0001272,98.1485,130.9110,97.6407,319.0734,0,U,25994,999,18031,.46617E-4,.165E-5,0
SL-16 R/B,2000-006B,2022-02-24T21:13:46.079904,14.15481478,.0018947,71.0040,315.7791,265.4519,94.4440,0,U,26070,999,13998,.84076E-4,.117E-5,0
MTI,2000-014A,2022-02-24T20:34:15.060000,15.74791386,.0008022,97.4608,342.4872,89.7583,270.4607,0,U,26102,999,22084,.43433E-3,.64145E-3,0
TITAN 4B R/B,2000-047B,2022-02-25T10:25:38.487072,14.96467681,.0060133,67.9940,174.1589,240.5064,119.0073,0,U,26474,999,17176,.94185E-4,.983E-5,0
ENVISAT,2002-009A,2022-02-25T10:59:45.108672,14.38081145,.0001234,98.1731,42.8819,91.0326,80.9639,0,U,27386,999,4743,.46764E-4,.101E-5,0
IDEFIX & ARIANE 42P R/B,2002-021B,2022-02-25T10:44:06.578304,14.29365428,.0011595,98.4369,5.8886,202.2170,157.8512,0,U,27422,999,3155,.50866E-4,.87E-6,0
AQUA,2002-022A,2022-02-25T10:37:10.323840,14.57149142,.000087,98.2368,359.4790,104.6723,4.7011,0,U,27424,999,5391,.7947E-4,.313E-5,0
CZ-4B R/B,2002-024C,2022-02-25T07:18:16.245216,14.14126084,.0049674,99.0731,79.7639,232.6635,139.4276,0,U,27432,999,2105,.25419E-4,.3E-7,0
MIDORI II (ADEOS-II),2002-056A,2022-02-25T11:22:31.215360,14.27560565,.0001345,98.5952,2.1044,37.4506,322.6769,0,U,27597,999,99998,.58701E-4,.101E-5,0
H-2A R/B,2002-056E,2022-02-24T23:48:10.625760,14.32035471,.0071086,98.1802,69.0211,236.2684,175.3909,0,U,27601,999,306,.23987E-4,.25E-6,0
CZ-4B R/B,2003-049C,2022-02-24T19:59:30.269472,14.52717346,.0050996,98.5119,350.9322,52.2358,308.3441,0,U,28059,999,97246,.45617E-4,.141E-5,0
CZ-2C R/B,2004-012C,2022-02-24T21:46:59.378880,15.11625034,.004757,97.7609,34.8271,78.3352,333.9436,0,U,28222,999,97922,.13141E-3,.2223E-4,0
SL-16 R/B,2004-021B,2022-02-25T11:03:03.708576,14.14257433,.0003399,70.9999,83.1723,134.2168,225.9234,0,U,28353,999,91452,.19785E-3,.33E-5,0
CZ-4B R/B,2004-035C,2022-02-24T21:37:58.526112,15.07540784,.0051917,97.5333,98.7394,46.1318,314.4181,0,U,28415,999,95663,.71562E-4,.1055E-4,0
CZ-2C R/B,2004-046B,2022-02-25T11:49:01.678656,14.25792684,.0141472,98.0581,53.1241,193.4976,277.9670,0,U,28480,999,89850,.22719E-4,.2E-6,0
ARIANE 5 R/B,2004-049H,2022-02-24T22:32:47.345568,14.80262648,.009305,98.0838,171.7835,78.1776,36.4533,0,U,28499,999,92743,.41724E-4,.282E-5,0
CZ-2D R/B,2005-024B,2022-02-25T00:11:53.985408,15.13032397,.0010912,97.3553,68.0515,199.9495,160.1311,0,U,28738,999,91476,.95525E-4,.1627E-4,0
SUZAKU (ASTRO-EII),2005-025A,2022-02-24T20:23:06.161568,15.19676924,.0004794,31.3818,317.3450,305.3448,54.6752,0,U,28773,999,91787,.1636E-3,.3674E-4,0
ALOS (DAICHI),2006-002A,2022-02-25T08:32:39.090336,14.63007143,.0001151,97.9216,25.5053,24.7670,335.3585,0,U,28931,999,85803,.95234E-4,.443E-5,0
